Condition    Stage    Image_n    Probe    index    z    y    x    n_rna    coloc
HS    4-cell    Image_04_191016    B04957    15    280    163    7    5    FALSE
HS    4-cell    Image_04_191016    B04957    16    284    414    6    7    FALSE
HS    4-cell    Image_04_191016    B04957    17    281    160    19    16    FALSE
HS    4-cell    Image_04_191016    B04957    18    318    264    15    8    FALSE
HS    4-cell    Image_04_191016    B04957    19    311    375    8    6    FALSE
HS    4-cell    Image_04_191016    B04957    20    320    497    7    10    FALSE
HS    4-cell    Image_04_191016    B04957    21    322    409    20    13    FALSE
HS    4-cell    Image_04_191016    B04957    22    331    469    17    20    FALSE
HS    4-cell    Image_04_191016    B04957    23    335    187    7    17    FALSE
HS    4-cell    Image_04_191016    B04957    24    344    488    20    5    FALSE
HS    4-cell    Image_04_191016    B04957    25    366    591    11    5    FALSE
HS    4-cell    Image_04_191016    B04957    26    404    439    10    11    FALSE
HS    4-cell    Image_04_191016    B04957    27    426    316    6    5    FALSE
HS    4-cell    Image_04_191016    B04957    28    433    426    14    7    FALSE
HS    4-cell    Image_04_191016    B04957    29    141    122    7    11    FALSE
HS    4-cell    Image_04_191016    B04957    30    399    239    7    11    FALSE
HS    4-cell    Image_04_191016    B04957    31    438    291    9    6    FALSE
HS    4-cell    Image_04_191016    B04957    32    119    366    6    7    FALSE
HS    4-cell    Image_04_191016    B04957    33    390    491    6    6    FALSE
HS    4-cell    Image_04_191016    B04957    34    346    542    7    7    FALSE
HS    4-cell    Image_04_191016    B04957    35    172    620    6    6    TRUE
HS    4-cell    Image_04_191016    B04957    36    215    643    7    11    TRUE
HS    4-cell    Image_04_191016    B04957    37    384    126    7    7    FALSE
HS    4-cell    Image_04_191016    B04957    38    149    320    7    9    FALSE
HS    4-cell    Image_04_191016    B04957    39    246    391    7    8    FALSE
HS    4-cell    Image_04_191016    B04957    40    148    401    9    14    FALSE
HS    4-cell    Image_04_191016    B04957    41    158    458    7    10    FALSE
HS    4-cell    Image_04_191016    B04957    42    216    659    6    10    TRUE
